SessionID,UserID,DeviceType,Country,ReferralSource,session_start_time,session_end_time,session_duration_minutes,Purchased,home_flag,product_flag,cart_flag,checkout_flag,confirmation_flag,total_time_on_page_seconds,max_items_in_cart
session_0,user_2223,Desktop,India,"Social Media","2025-01-20 22:53:34","2025-01-20 22:53:34",0,0,1,0,0,0,0,55,0
session_1,user_2192,Tablet,Germany,Email,"2025-02-26 12:57:10","2025-02-26 12:59:11",2,0,1,1,0,0,0,220,0
session_2,user_1708,Mobile,India,Google,"2025-06-24 15:40:46","2025-06-24 15:40:46",0,0,1,0,0,0,0,160,0
session_3,user_2976,Tablet,UK,Google,"2025-06-11 07:21:02","2025-06-11 07:21:02",0,0,1,0,0,0,0,113,0
session_4,user_1065,Desktop,France,"Social Media","2025-04-12 23:58:16","2025-04-13 00:00:31",2,0,1,1,0,0,0,184,4
session_5,user_2216,Desktop,UK,Email,"2025-01-08 20:58:18","2025-01-08 21:02:48",4,1,1,1,1,1,1,425,5
session_6,user_2429,Desktop,Australia,"Social Media","2025-05-07 06:16:05","2025-05-07 06:16:05",0,0,1,0,0,0,0,145,0
session_7,user_2450,Desktop,Australia,Google,"2025-08-04 20:16:03","2025-08-04 20:18:12",2,0,1,1,0,0,0,190,1
session_8,user_1521,Mobile,France,Email,"2025-07-19 02:20:56","2025-07-19 02:23:13",2,0,1,1,0,0,0,230,2
session_9,user_1843,Tablet,India,"Social Media","2025-02-14 21:33:16","2025-02-14 21:37:41",4,0,1,1,1,0,0,425,5
session_10,user_2357,Tablet,India,Direct,"2025-05-17 22:11:37","2025-05-17 22:13:33",1,0,1,1,0,0,0,191,0
session_11,user_2760,Tablet,USA,Direct,"2025-06-11 20:27:05","2025-06-11 20:30:19",3,0,1,1,1,0,0,248,4
session_12,user_2907,Mobile,France,Email,"2025-03-31 11:11:46","2025-03-31 11:15:45",3,0,1,1,1,0,0,270,1
session_13,user_1058,Tablet,USA,Direct,"2025-08-01 19:45:33","2025-08-01 19:50:48",5,0,1,1,1,0,0,357,5
session_14,user_1884,Mobile,Australia,Email,"2025-04-14 13:14:53","2025-04-14 13:16:10",1,0,1,1,0,0,0,207,0
session_15,user_2270,Mobile,Australia,Email,"2025-05-04 18:51:40","2025-05-04 18:55:53",4,0,1,1,1,0,0,431,5
session_16,user_1016,Mobile,USA,Email,"2025-07-01 07:57:56","2025-07-01 07:57:56",0,0,1,0,0,0,0,163,0
session_17,user_1629,Mobile,USA,"Social Media","2025-06-02 13:09:58","2025-06-02 13:13:25",3,0,1,1,1,0,0,254,3
session_18,user_1797,Mobile,USA,Email,"2025-05-11 10:48:00","2025-05-11 10:53:55",5,1,1,1,1,1,1,433,2
session_19,user_2000,Tablet,USA,Email,"2025-04-15 22:13:33","2025-04-15 22:14:07",0,0,1,1,0,0,0,184,4
session_20,user_2182,Desktop,Canada,Direct,"2025-03-18 04:06:06","2025-03-18 04:07:30",1,0,1,1,0,0,0,203,0
session_21,user_2035,Tablet,Australia,Google,"2025-02-14 06:39:24","2025-02-14 06:40:39",1,0,1,1,0,0,0,107,5
session_22,user_2046,Desktop,UK,"Social Media","2025-02-24 18:32:54","2025-02-24 18:32:54",0,0,1,0,0,0,0,167,0
session_23,user_2546,Tablet,France,Direct,"2025-04-18 05:34:24","2025-04-18 05:42:40",8,1,1,1,1,1,1,559,4
session_24,user_2666,Desktop,France,Google,"2025-05-29 02:09:07","2025-05-29 02:10:36",1,0,1,1,0,0,0,109,0
session_25,user_1143,Tablet,USA,Google,"2025-05-06 03:32:59","2025-05-06 03:35:59",3,0,1,1,0,0,0,331,3
session_26,user_2067,Desktop,France,"Social Media","2025-05-09 15:42:12","2025-05-09 15:42:45",0,0,1,1,0,0,0,102,0
